Date,Hour,Version,MCP,OR10S,OR10N,OR30R,RefHr
2019-02-19,24,32,26.38,0.2,0.2,0.2,24
2019-02-19,24,31,26.37,0.2,0.2,0.2,23
2019-02-19,23,31,28.62,0.2,0.2,0.2,23
2019-02-19,24,30,26.9,0.19,0.19,0.19,22
2019-02-19,23,30,28.62,0.2,0.2,0.2,22
2019-02-19,22,30,29.79,0.2,0.2,0.2,22
2019-02-19,24,29,28.02,0.19,0.19,0.19,21
2019-02-19,23,29,28.83,0.15,0.15,0.1,21
2019-02-19,22,29,29.79,0.2,0.2,0.2,21
2019-02-19,21,29,31,1.41,1.41,0.45,21
2019-02-19,24,28,26.91,0.17,0.17,0.17,20
2019-02-19,23,28,29.29,0.1,0.1,0.1,20
2019-02-19,22,28,29.79,0.2,0.2,0.2,20
2019-02-19,21,28,31.02,1.43,1.43,0.45,20
2019-02-19,20,28,35,5.41,5.41,1.71,20
2019-02-19,24,27,27.16,0.16,0.16,0.16,19
2019-02-19,23,27,29.09,0.19,0.19,0.19,19
2019-02-19,22,27,29.79,0.2,0.2,0.2,19
2019-02-19,21,27,31.65,1.78,1.78,0.45,19
2019-02-19,20,27,35,5.41,5.41,1.71,19
2019-02-19,19,27,37.79,8.2,8.2,4.5,19
2019-02-19,24,26,26.91,0.16,0.16,0.16,18
2019-02-19,23,26,28.83,0.2,0.2,0.1,18
2019-02-19,22,26,29.6,0.2,0.2,0.2,18
2019-02-19,21,26,31.65,1.78,1.78,0.45,18
2019-02-19,20,26,40.3,10.71,10.71,7.01,18
2019-02-19,19,26,36.44,6.85,6.85,3.15,18
2019-02-19,18,26,30.06,0.47,0.47,0.45,18
2019-02-19,24,25,27.18,0.16,0.16,0.16,17
2019-02-19,23,25,29.06,0.2,0.2,0.2,17
2019-02-19,22,25,29.8,0.2,0.2,0.2,17
2019-02-19,21,25,31.76,1.43,1.43,0.45,17
2019-02-19,20,25,40.3,10.71,10.71,7.01,17
2019-02-19,19,25,39.39,9.8,9.8,6.1,17
2019-02-19,18,25,31.02,1.43,1.43,0.45,17
2019-02-19,17,25,29.69,0.2,0.2,0.1,17
2019-02-19,24,24,28.02,0.16,0.16,0.16,16
2019-02-19,23,24,29.6,0.1,0.1,0.1,16
2019-02-19,22,24,29.79,0.2,0.2,0.2,16
2019-02-19,21,24,31.76,1.43,1.43,0.45,16
2019-02-19,20,24,37.41,7.82,7.82,4.12,16
2019-02-19,19,24,39.39,9.8,9.8,6.1,16
2019-02-19,18,24,31.86,2,2,0.45,16
2019-02-19,17,24,29.88,0.29,0.29,0.29,16
2019-02-19,16,24,28.61,0.21,0.21,0.21,16
2019-02-19,24,23,28.08,0.2,0.2,0.2,15
2019-02-19,23,23,29.31,0.13,0.13,0.13,15
2019-02-19,22,23,29.79,0.2,0.2,0.2,15
2019-02-19,21,23,31.65,1.43,1.43,0.45,15
2019-02-19,20,23,35.01,5.42,5.42,1.72,15
2019-02-19,19,23,39.39,9.8,9.8,6.1,15
2019-02-19,18,23,31.59,2,2,0.45,15
2019-02-19,17,23,29.79,0.2,0.2,0.2,15
2019-02-19,16,23,28.61,0.21,0.21,0.21,15
2019-02-19,15,23,28.01,0.38,0.38,0.38,15
2019-02-19,24,22,28.68,0.2,0.2,0.1,14
2019-02-19,23,22,29.31,0.13,0.13,0.13,14
2019-02-19,22,22,29.8,0.2,0.2,0.2,14
2019-02-19,21,22,31.65,1.43,1.43,0.45,14
2019-02-19,20,22,35,5.41,5.41,1.71,14
2019-02-19,19,22,34.33,4.74,4.74,1.04,14
2019-02-19,18,22,31.59,2,2,0.45,14
2019-02-19,17,22,30.62,1.03,1.03,0.45,14
2019-02-19,16,22,29.43,0.21,0.21,0.21,14
2019-02-19,15,22,28.02,0.36,0.36,0.36,14
2019-02-19,14,22,28.62,0.2,0.2,0.2,14
2019-02-19,24,21,27.18,0.2,0.2,0.2,13
2019-02-19,23,21,28.83,0.2,0.2,0.1,13
2019-02-19,22,21,29.6,0.2,0.2,0.2,13
2019-02-19,21,21,31.02,1.43,1.43,0.45,13
2019-02-19,20,21,35,5.41,5.41,1.71,13
2019-02-19,19,21,34.33,4.74,4.74,1.04,13
2019-02-19,18,21,31.59,2,2,0.45,13
2019-02-19,17,21,29.96,0.37,0.37,0.37,13
2019-02-19,16,21,28.83,0.21,0.21,0.1,13
2019-02-19,15,21,28.05,0.36,0.36,0.36,13
2019-02-19,14,21,28.04,0.21,0.21,0.21,13
2019-02-19,13,21,28.66,0.21,0.21,0.15,13
2019-02-19,24,20,27.2,0.2,0.2,0.2,12
2019-02-19,23,20,29.31,0.2,0.2,0.2,12
2019-02-19,22,20,29.6,0.98,0.98,0.45,12
2019-02-19,21,20,31.58,2,2,0.45,12
2019-02-19,20,20,37.41,8.79,8.79,4.12,12
2019-02-19,19,20,36.44,7.82,7.82,3.15,12
2019-02-19,18,20,31.36,2.74,2.74,0.45,12
2019-02-19,17,20,30.06,1.41,1.41,0.45,12
2019-02-19,16,20,29.31,0.21,0.21,0.14,12
2019-02-19,15,20,28.52,0.36,0.36,0.36,12
2019-02-19,14,20,28.07,0.2,0.2,0.2,12
2019-02-19,13,20,28.83,0.21,0.21,0.1,12
2019-02-19,12,20,29.49,0.37,0.37,0.37,12
