"TimestampHS","HE","HOEP","Hour.1.Predispatch","Hour.2.Predispatch","Hour.3.Predispatch","OR.10.Min.Sync","OR.10.Min.non.sync","OR.30.Min"
2016-01-01 00:00:00,1,-1.09,"0",0,0,NA,NA,NA
2016-01-01 01:00:00,2,-2.41,"0",0,-4.3,NA,NA,NA
2016-01-01 02:00:00,3,-4.23,"-4.1",-4.1,-4.3,NA,NA,NA
2016-01-01 03:00:00,4,-4.4,"-4.3",-4.3,-4.3,NA,NA,NA
2016-01-01 04:00:00,5,-4.44,"-4.3",-4.3,-4.4,NA,NA,NA
2016-01-01 05:00:00,6,-4.43,"-4.3",-4.3,-4.3,NA,NA,NA
2016-01-01 06:00:00,7,-4.33,"-4.1",-4.1,-4.3,NA,NA,NA
2016-01-01 07:00:00,8,-4.3,"-4.1",-4.1,-0.25,NA,NA,NA
2016-01-01 08:00:00,9,-4.27,"-0.02",-3,0,NA,NA,NA
2016-01-01 09:00:00,10,-4.28,"-2",-2,-0.02,NA,NA,NA
2016-01-01 10:00:00,11,-3.76,"0",0,-4.3,NA,NA,NA
2016-01-01 11:00:00,12,0,"0",0,0,NA,NA,NA
2016-01-01 12:00:00,13,0,"0",0,0,NA,NA,NA
2016-01-01 13:00:00,14,0,"0",0,0,NA,NA,NA
2016-01-01 14:00:00,15,0,"0",0,0,NA,NA,NA
2016-01-01 15:00:00,16,0,"0",0,0,NA,NA,NA
2016-01-01 16:00:00,17,1,"4.56",5,4.74,NA,NA,NA
2016-01-01 17:00:00,18,6.34,"5.86",5.88,7.28,NA,NA,NA
2016-01-01 18:00:00,19,5.88,"5.69",5.67,4.56,NA,NA,NA
2016-01-01 19:00:00,20,5.81,"5.69",5.67,1,NA,NA,NA
2016-01-01 20:00:00,21,5.7,"5.69",4.74,4.56,NA,NA,NA
2016-01-01 21:00:00,22,6.51,"5.96",5.98,4.76,NA,NA,NA
2016-01-01 22:00:00,23,2.75,"5.82",5.8,1,NA,NA,NA
2016-01-01 23:00:00,24,0.49,"3",3,0,NA,NA,NA
2016-01-02 00:00:00,1,0,"0",0,0,NA,NA,NA
2016-01-02 01:00:00,2,0,"0",0,0,NA,NA,NA
2016-01-02 02:00:00,3,-0.85,"0",0,0,NA,NA,NA
2016-01-02 03:00:00,4,-4.12,"-2.5",0,-4.1,NA,NA,NA
2016-01-02 04:00:00,5,-4.1,"-3",-3,0,NA,NA,NA
2016-01-02 05:00:00,6,-4.26,"0",0,-2,NA,NA,NA
2016-01-02 06:00:00,7,-1.64,"0",0,0,NA,NA,NA
2016-01-02 07:00:00,8,-1.29,"0",0,0.5,NA,NA,NA
2016-01-02 08:00:00,9,3.61,"0",5.88,5.9,NA,NA,NA
2016-01-02 09:00:00,10,7.49,"5.88",5.56,6,NA,NA,NA
2016-01-02 10:00:00,11,12.36,"12.35",12.32,4.76,NA,NA,NA
2016-01-02 11:00:00,12,10.72,"4.54",3.56,4.54,NA,NA,NA
2016-01-02 12:00:00,13,11.25,"7.56",4.76,5.9,NA,NA,NA
2016-01-02 13:00:00,14,0,"5.94",2.56,4.74,NA,NA,NA
2016-01-02 14:00:00,15,0,"5.92",5.96,1,NA,NA,NA
2016-01-02 15:00:00,16,0,"8.56",5.92,5.96,NA,NA,NA
2016-01-02 16:00:00,17,2.96,"18",22,14.35,NA,NA,NA
2016-01-02 17:00:00,18,5.85,"25",23.26,14.76,NA,NA,NA
2016-01-02 18:00:00,19,5.6,"14.28",14.32,14.1,NA,NA,NA
2016-01-02 19:00:00,20,1.82,"13.42",14.04,13.42,NA,NA,NA
2016-01-02 20:00:00,21,0,"5.67",5.86,5.86,NA,NA,NA
2016-01-02 21:00:00,22,0,"0",0,4.54,NA,NA,NA
2016-01-02 22:00:00,23,0,"0",0,0,NA,NA,NA
2016-01-02 23:00:00,24,0,"0",0,0,NA,NA,NA
2016-01-03 00:00:00,1,-0.35,"0",0,0,NA,NA,NA
2016-01-03 01:00:00,2,-4.26,"-4.1",-4.1,-4.3,NA,NA,NA
2016-01-03 02:00:00,3,-4.27,"-4.1",-4.1,-4.1,NA,NA,NA
2016-01-03 03:00:00,4,-4.3,"-4.3",-4.3,-4.3,NA,NA,NA
2016-01-03 04:00:00,5,-4.36,"-4.3",-4.3,-4.4,NA,NA,NA
2016-01-03 05:00:00,6,-4.17,"-4.3",-4.3,-4.3,NA,NA,NA
2016-01-03 06:00:00,7,-2.64,"-3.65",-4.1,-4.1,NA,NA,NA
2016-01-03 07:00:00,8,-0.25,"0",0,-4.1,NA,NA,NA
2016-01-03 08:00:00,9,-0.37,"0",0,0,NA,NA,NA
2016-01-03 09:00:00,10,0,"0",0,0,NA,NA,NA
2016-01-03 10:00:00,11,0,"1",1,0,NA,NA,NA
2016-01-03 11:00:00,12,0,"0",0,0,NA,NA,NA
2016-01-03 12:00:00,13,0.76,"5.83",5.92,4.59,NA,NA,NA
2016-01-03 13:00:00,14,0,"1",5.76,5.76,NA,NA,NA
2016-01-03 14:00:00,15,5.17,"5.88",5.9,5.83,NA,NA,NA
2016-01-03 15:00:00,16,5.89,"5.94",5.92,5.67,NA,NA,NA
2016-01-03 16:00:00,17,9.27,"20",20,14.34,NA,NA,NA
2016-01-03 17:00:00,18,21.67,"25.54",29,24.58,NA,NA,NA
2016-01-03 18:00:00,19,20.89,"25.45",25.45,16.55,NA,NA,NA
2016-01-03 19:00:00,20,52.45,"25.5",25.5,15.47,NA,NA,NA
2016-01-03 20:00:00,21,22.63,"14.37",14.38,14.39,NA,NA,NA
2016-01-03 21:00:00,22,26.69,"25.2",20.08,14.36,NA,NA,NA
2016-01-03 22:00:00,23,14.64,"12",14.04,14.04,NA,NA,NA
2016-01-03 23:00:00,24,8.1,"11.3",11.31,13.42,NA,NA,NA
2016-01-04 00:00:00,1,6.36,"7",6.08,13.31,NA,NA,NA
2016-01-04 01:00:00,2,5.6,"6",5.94,5.92,NA,NA,NA
2016-01-04 02:00:00,3,-0.02,"5",5,5.92,NA,NA,NA
2016-01-04 03:00:00,4,-4.1,"0",5,5.92,NA,NA,NA
2016-01-04 04:00:00,5,-0.93,"0",0,6.08,NA,NA,NA
2016-01-04 05:00:00,6,1.32,"14.36",14.32,13.39,NA,NA,NA
2016-01-04 06:00:00,7,9.81,"25.39",25.39,26.17,NA,NA,NA
2016-01-04 07:00:00,8,18.86,"26.4",27.39,28.19,NA,NA,NA
2016-01-04 08:00:00,9,15.91,"19.26",21.2,26.16,NA,NA,NA
2016-01-04 09:00:00,10,14.51,"20.7",20.7,22.13,NA,NA,NA
2016-01-04 10:00:00,11,5.89,"19.2",18.96,25.39,NA,NA,NA
2016-01-04 11:00:00,12,14.34,"14.4",20,14.34,NA,NA,NA
2016-01-04 12:00:00,13,13.89,"14.37",18.63,20,NA,NA,NA
2016-01-04 13:00:00,14,13.31,"20",19.99,19.99,NA,NA,NA
2016-01-04 14:00:00,15,11.49,"14.01",13.38,13.35,NA,NA,NA
2016-01-04 15:00:00,16,16.53,"20",24.58,19.99,NA,NA,NA
2016-01-04 16:00:00,17,30.79,"33.96",35,33.96,NA,NA,NA
2016-01-04 17:00:00,18,48.69,"50",48.79,48.79,NA,NA,NA
2016-01-04 18:00:00,19,39.26,"53.07",50,40.26,NA,NA,NA
2016-01-04 19:00:00,20,37.12,"53.06",49.93,45.21,NA,NA,NA
2016-01-04 20:00:00,21,30.54,"53.06",48.79,40.01,NA,NA,NA
2016-01-04 21:00:00,22,27.53,"28.83",28.83,29.16,NA,NA,NA
2016-01-04 22:00:00,23,25.26,"25.41",25.41,26.83,NA,NA,NA
2016-01-04 23:00:00,24,25.69,"25.2",25.39,25.4,NA,NA,NA
2016-01-05 00:00:00,1,61.53,"29.75",27.85,26.96,NA,NA,NA
2016-01-05 01:00:00,2,29.23,"25.17",23.88,26,NA,NA,NA
2016-01-05 02:00:00,3,27.51,"21",21,14.22,NA,NA,NA
2016-01-05 03:00:00,4,26.15,"22.2",23.25,14.22,NA,NA,NA
2016-01-05 04:00:00,5,14.34,"14.33",14.32,13.73,NA,NA,NA
2016-01-05 05:00:00,6,15.2,"24.44",24.44,24.5,NA,NA,NA
2016-01-05 06:00:00,7,29.57,"32.11",30.76,30.77,NA,NA,NA
2016-01-05 07:00:00,8,39.33,"56.69",56.69,50,NA,NA,NA
2016-01-05 08:00:00,9,76.26,"37.71",37.7,37.7,NA,NA,NA
2016-01-05 09:00:00,10,29.53,"35",29.69,29.69,NA,NA,NA
2016-01-05 10:00:00,11,29.02,"30.03",30.25,28.56,NA,NA,NA
2016-01-05 11:00:00,12,27.6,"29.68",29.69,29.69,NA,NA,NA
2016-01-05 12:00:00,13,24.44,"27.01",26.99,26.94,NA,NA,NA
2016-01-05 13:00:00,14,8.13,"24.7",25.51,25.51,NA,NA,NA
2016-01-05 14:00:00,15,5.98,"13.37",20,24.44,NA,NA,NA
2016-01-05 15:00:00,16,12.1,"13.31",13.36,23.84,NA,NA,NA
2016-01-05 16:00:00,17,29.74,"33.85",35,28,NA,NA,NA
2016-01-05 17:00:00,18,31.7,"77.88",66,38.21,NA,NA,NA
2016-01-05 18:00:00,19,29.86,"60",56.69,36.8,NA,NA,NA
2016-01-05 19:00:00,20,30.6,"48.36",48.36,30.32,NA,NA,NA
2016-01-05 20:00:00,21,22.78,"45",44.43,29.69,NA,NA,NA
2016-01-05 21:00:00,22,17.44,"26.23",26.23,25.49,NA,NA,NA
2016-01-05 22:00:00,23,4.83,"14.38",14.35,13.36,NA,NA,NA
2016-01-05 23:00:00,24,3.1,"14.39",14.39,9.84,NA,NA,NA
2016-01-06 00:00:00,1,0.38,"6",14.33,9.84,NA,NA,NA
2016-01-06 01:00:00,2,0,"4.74",4.78,5.86,NA,NA,NA
2016-01-06 02:00:00,3,0,"2",2,1,NA,NA,NA
2016-01-06 03:00:00,4,0,"4",4,0,NA,NA,NA
2016-01-06 04:00:00,5,-0.25,"5.84",5.07,4.79,NA,NA,NA
2016-01-06 05:00:00,6,0.81,"14.34",14.36,14.36,NA,NA,NA
2016-01-06 06:00:00,7,9.99,"25.38",25.38,25.25,NA,NA,NA
2016-01-06 07:00:00,8,15.56,"27.68",27.68,17.06,NA,NA,NA
2016-01-06 08:00:00,9,15.96,"19.99",19.99,16.03,NA,NA,NA
2016-01-06 09:00:00,10,14.06,"19.99",18.88,15.62,NA,NA,NA
2016-01-06 10:00:00,11,12.7,"20",20,13.22,NA,NA,NA
2016-01-06 11:00:00,12,12.71,"15",15.06,19.99,NA,NA,NA
2016-01-06 12:00:00,13,9.01,"13.31",13.35,13.35,NA,NA,NA
2016-01-06 13:00:00,14,6.54,"6.08",6,9.84,NA,NA,NA
2016-01-06 14:00:00,15,5.91,"10",6.08,5.88,NA,NA,NA
2016-01-06 15:00:00,16,19.86,"13.32",13.34,13.31,NA,NA,NA
2016-01-06 16:00:00,17,22.54,"25.97",21.49,21.32,NA,NA,NA
2016-01-06 17:00:00,18,51.64,"32",32,21.47,NA,NA,NA
2016-01-06 18:00:00,19,20.87,"20",20,24.73,NA,NA,NA
2016-01-06 19:00:00,20,19.39,"20",20,24.73,NA,NA,NA
2016-01-06 20:00:00,21,15.54,"19.8",17.73,21.27,NA,NA,NA
2016-01-06 21:00:00,22,16.18,"22.56",22.56,20,NA,NA,NA
2016-01-06 22:00:00,23,15.93,"14.12",19.99,13.46,NA,NA,NA
2016-01-06 23:00:00,24,12.32,"12.39",12.38,12.36,NA,NA,NA
2016-01-07 00:00:00,1,7.27,"11.33",11.32,6.08,NA,NA,NA
2016-01-07 01:00:00,2,5.88,"5.88",5.9,5.82,NA,NA,NA
2016-01-07 02:00:00,3,7.48,"11.17",5.9,4.83,NA,NA,NA
2016-01-07 03:00:00,4,10.23,"12.34",8,5.86,NA,NA,NA
2016-01-07 04:00:00,5,12.75,"12.36",12.35,10.01,NA,NA,NA
2016-01-07 05:00:00,6,15.4,"21.07",21.08,18,NA,NA,NA
2016-01-07 06:00:00,7,30.93,"29.5",27.56,25.68,NA,NA,NA
2016-01-07 07:00:00,8,27.5,"30.31",25.8,25.41,NA,NA,NA
2016-01-07 08:00:00,9,18.44,"30.25",25.8,26,NA,NA,NA
2016-01-07 09:00:00,10,16.71,"20.17",20,20,NA,NA,NA
2016-01-07 10:00:00,11,25.15,"20",28,19.99,NA,NA,NA
2016-01-07 11:00:00,12,24.19,"15.58",15.58,16.67,NA,NA,NA
2016-01-07 12:00:00,13,21.96,"18.8",18,14.38,NA,NA,NA
2016-01-07 13:00:00,14,20.53,"17.9",14.37,14.38,NA,NA,NA
2016-01-07 14:00:00,15,21.48,"17.62",14.37,14.38,NA,NA,NA
2016-01-07 15:00:00,16,24.42,"16.79",16.84,20,NA,NA,NA
2016-01-07 16:00:00,17,19.27,"20.13",20.14,26.52,NA,NA,NA
2016-01-07 17:00:00,18,26.1,"26.49",26.5,29.25,NA,NA,NA
2016-01-07 18:00:00,19,25.62,"26.47",26.47,26.53,NA,NA,NA
2016-01-07 19:00:00,20,24.73,"24.91",24.91,25.82,NA,NA,NA
2016-01-07 20:00:00,21,19.53,"25.36",25.11,26.53,NA,NA,NA
2016-01-07 21:00:00,22,25.86,"25.31",26.28,26.51,NA,NA,NA
2016-01-07 22:00:00,23,18.26,"25.57",26.19,23.86,NA,NA,NA
2016-01-07 23:00:00,24,15.49,"14.38",21,13.46,NA,NA,NA
2016-01-08 00:00:00,1,11.5,"13.23",13.33,13.29,NA,NA,NA
2016-01-08 01:00:00,2,5.99,"5.94",5.94,5.9,NA,NA,NA
2016-01-08 02:00:00,3,13.33,"13.31",13.29,5.83,NA,NA,NA
2016-01-08 03:00:00,4,15.31,"13.32",13.3,5.9,NA,NA,NA
2016-01-08 04:00:00,5,14.35,"13.35",13.34,5.9,NA,NA,NA
2016-01-08 05:00:00,6,7.75,"21",21,20,NA,NA,NA
2016-01-08 06:00:00,7,14.92,"30.33",29.5,27.19,NA,NA,NA
2016-01-08 07:00:00,8,27.42,"23.09",25,18.19,NA,NA,NA
2016-01-08 08:00:00,9,13.35,"25",24.56,20,NA,NA,NA
2016-01-08 09:00:00,10,16.65,"20",20,13.37,NA,NA,NA
2016-01-08 10:00:00,11,68.61,"20",20,14.36,NA,NA,NA
2016-01-08 11:00:00,12,30.99,"20",20,14.36,NA,NA,NA
2016-01-08 12:00:00,13,14.35,"20",20,14.36,NA,NA,NA
2016-01-08 13:00:00,14,23.31,"14.4",14.38,14.4,NA,NA,NA
2016-01-08 14:00:00,15,22.39,"19.2",19.99,18.85,NA,NA,NA
2016-01-08 15:00:00,16,19.78,"18.85",14.39,14.38,NA,NA,NA
2016-01-08 16:00:00,17,16.5,"19.02",19.02,19.08,NA,NA,NA
2016-01-08 17:00:00,18,14.37,"25.11",20.55,34.2,NA,NA,NA
2016-01-08 18:00:00,19,15.07,"24",21.28,25.72,NA,NA,NA
2016-01-08 19:00:00,20,16.88,"20",20,20,NA,NA,NA
2016-01-08 20:00:00,21,19.82,"20",20,20,NA,NA,NA
2016-01-08 21:00:00,22,29.07,"14.4",14.37,14.36,NA,NA,NA
